date_scraped,award_id,award_amount,replicability,service_type,description,awardee,awardee_uei,agency,sub_agency,naics,psc,start_date,match_source,score,award_url
2026-07-01,31360024F0001,29926.54,medium,incident_response,"CONTINUATION OF MOBILE HOTSPOT SERVICE TO REGION L, HQ, AND OTHER REGIONS TO AID THEIR INCIDENT RESPONSE RESPONSIBILITIES/FUNCTIONS IN AREAS WHERE THE HQ, AT&T AIR CARDS CANNOT PROVIDE FULL SERVICE.",CELLCO PARTNERSHIP,,Nuclear Regulatory Commission,Nuclear Regulatory Commission,517312,DE11,2024-03-01,keyword:incident response,45,https://www.usaspending.gov/award/CONT_AWD_31360024F0001_3100_47QTCA20D00B5_4732
2026-07-01,140L0624F0184,33813.32,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 099 - FY 2026 CASHE AUDIT NEEDLES & BARSTOW","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2024-09-18,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0624F0184_1422_140L0622A0008_1422
2026-07-01,140L0623F0246,34530.91,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 090 UPDATE SPCC AND SWPPP FOR NIFC","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2023-09-13,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0623F0246_1422_140L0622A0008_1422
2026-07-01,15F06724F0000022,35938.66,medium,incident_response,"THIS IS A CONTRACT FOR AT&T TO PROVIDE FIRSTNET PRIORITY CELLULAR DATA SERVICE THROUGHOUT THE CONTINENTAL UNITED STATES (CONUS), HAWAII, AND COVERED ZONES IN ALASKA TO THE FEDERAL BUREAU OF INVESTIGATION (FBI) CRITICAL INCIDENT RESPONSE GROUPS (CIRG)",ATT MOBILITY LLC,,Department of Justice,Federal Bureau of Investigation,517312,DG11,2023-12-01,keyword:incident response,45,https://www.usaspending.gov/award/CONT_AWD_15F06724F0000022_1549_47QTCA19D00MV_4732
2026-07-01,140L0623F0269,37875.08,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 075 FILLMORE","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2023-09-18,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0623F0269_1422_140L0622A0008_1422
2026-07-01,12024B25M1080,38552.00,medium,incident_response,INCIDENT RESPONSE COMMUNICATIONS LLC ORWIF250387 E4,INCIDENT RESPONSE COMMUNICATIONS LLC,,Department of Agriculture,Forest Service,488190,F003,2025-09-09,keyword:incident response,45,https://www.usaspending.gov/award/CONT_AWD_12024B25M1080_12C2_12024B24T7018_12C2
2026-07-01,140L0624F0196,40860.64,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 108 - FY 2026 CASHE AUDIT ELY CIH-CSP","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2024-09-23,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0624F0196_1422_140L0622A0008_1422
2026-07-01,140L0623F0260,44211.32,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 072 SOUTHERN NEVADA DISTRICT FY25 AUDIT","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2023-09-18,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0623F0260_1422_140L0622A0008_1422
2026-07-01,140L0624F0193,45394.50,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 105 - FY 2026 CASHE AUDIT LAKEVIEW","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2024-09-17,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0624F0193_1422_140L0622A0008_1422
2026-07-01,140L0623F0278,45444.42,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 078 ROSEBURG","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2023-09-18,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0623F0278_1422_140L0622A0008_1422
2026-07-01,140L0624F0185,45620.66,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 100 - FY 2026 CASHE AUDIT CENTRAL COAST & MOTHER LODE","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2024-09-16,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0624F0185_1422_140L0622A0008_1422
2026-07-01,140L0623F0277,45662.72,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 077 PRICE/VERNAL FY25 AUDIT","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2023-09-18,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0623F0277_1422_140L0622A0008_1422
2026-07-01,140L0624F0190,45689.50,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 103 - FY 2026 CASHE AUDIT BILLINGS & MONTANA STATE OFFICE","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2024-09-17,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0624F0190_1422_140L0622A0008_1422
2026-07-01,140L0624F0192,45748.50,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 104 - FY 2026 CASHE AUDIT BURLEY, JARBIDGE, & SHOSHONE","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2024-09-17,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0624F0192_1422_140L0622A0008_1422
2026-07-01,140L0623F0283,45749.35,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 083 PRINEVILLE FY25 AUDIT","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2023-09-18,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0623F0283_1422_140L0622A0008_1422
2026-07-01,140L0624F0189,45890.81,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 102 - FY 2026 CASHE AUDIT ARCATA & REDDING","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2024-09-18,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0624F0189_1422_140L0622A0008_1422
2026-07-01,140L0623F0280,45920.45,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 080 VALE FY25 AUDIT","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2023-09-19,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0623F0280_1422_140L0622A0008_1422
2026-07-01,140L0624F0186,45925.50,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) FY 2026 CASHE AUDIT GRAND STAIRCASE-ESCALANTE & KANAB","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2024-09-16,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0624F0186_1422_140L0622A0008_1422
2026-07-01,140L0624F0219,45955.00,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 110 - FY 2026 CASHE AUDIT BURNS","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2024-09-23,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0624F0219_1422_140L0622A0008_1422
2026-07-01,140L0623F0265,46059.56,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 074 CARLSBAD/ROSWELL FY25 AUDIT","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2023-09-18,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0623F0265_1422_140L0622A0008_1422
2026-07-01,140L0623F0282,46095.33,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 082 PINEDALE/ROCK SPRINGS FY25 AUDIT","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2023-09-18,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0623F0282_1422_140L0622A0008_1422
2026-07-01,140L0624F0197,46121.74,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 109 - FY 2026 CASHE AUDIT COEUR D'ALENE & COTTONWOOD","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2024-09-18,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0624F0197_1422_140L0622A0008_1422
2026-07-01,140L0623F0279,46383.01,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 079 APPLEGATE/SURPRISE FY25 AUDIT","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2023-09-19,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0623F0279_1422_140L0622A0008_1422
2026-07-01,140L0624F0195,46505.59,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 107 - FY 2026 CASHE AUDIT CODY, LANDER, & WORLAND","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2024-09-17,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0624F0195_1422_140L0622A0008_1422
2026-07-01,140L0624F0179,46659.98,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 098 - FY 2026 CASHE AUDIT SAFFORD & TUCSON","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2024-09-12,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0624F0179_1422_140L0622A0008_1422
2026-07-01,140L0623F0275,47542.59,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 076 IDAHO FALLS/POCATELLO FY25 AUDIT","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2023-09-18,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0623F0275_1422_140L0622A0008_1422
2026-07-01,140L0624F0194,49979.68,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 106 - FY 2026 CASHE AUDIT ARCTIC & FAIRBANKS","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2024-09-19,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0624F0194_1422_140L0622A0008_1422
2026-07-01,140L0623F0281,56790.48,medium,cyber_consulting,"COMPLIANCE ASSESSMENTS FOR SAFETY, HEALTH, AND THE ENVIRONMENT (CASHE) CALL 081 NORTH CENTRAL MT FY25 AUDIT","AARCHER, INC.",,Department of the Interior,Bureau of Land Management,541620,R410,2023-09-18,keyword:compliance assessment,45,https://www.usaspending.gov/award/CONT_AWD_140L0623F0281_1422_140L0622A0008_1422
2026-07-01,12024B25M0722,61389.34,medium,incident_response,INCIDENT RESPONSE COMMUNICATIONS LLC WAOLF000178 E116,INCIDENT RESPONSE COMMUNICATIONS LLC,,Department of Agriculture,Forest Service,488190,F003,2025-08-02,keyword:incident response,45,https://www.usaspending.gov/award/CONT_AWD_12024B25M0722_12C2_12024B24T7018_12C2
2026-07-01,959P0025P0008,10000.00,medium,cyber_consulting,REVIEW OF PSA RISK ASSESSMENT INSTRUMENT (RAI) REVALIDATION,"MAXARTH, LLC",,Court Services and Offender Supervision Agency,Pretrial Services Agency,541611,G004,2025-06-16,keyword:risk assessment,40,https://www.usaspending.gov/award/CONT_AWD_959P0025P0008_959P_-NONE-_-NONE-
2026-07-01,123A9420C0021,14630.00,medium,cyber_consulting,"THE SEMINAR SERIES FOSTERS INFORMATION EXCHANGE BETWEEN FSIS PERSONNEL AND PROFESSIONALS IN PUBLIC HEALTH, FOOD SCIENCE AND TECHNOLOGY, MICROBIOLOGY, CHEMISTRY, TOXICOLOGY, RISK ASSESSMENT, INFECTIOUS DISEASE, EPIDEMIOLOGY, VETERINARY MEDIC",AMERICAN ASSOCIATION OF VETERINARY STATE BOARDS,,Department of Agriculture,Food Safety and Inspection Service,611430,U006,2020-07-01,keyword:risk assessment,40,https://www.usaspending.gov/award/CONT_AWD_123A9420C0021_12G2_-NONE-_-NONE-
2026-07-01,15PCRD19C00000002,19152.15,medium,cyber_consulting,EXPERT CONSULTANTS - PRETRIAL RISK ASSESSMENT SERVICES FOR THE USDOJ OJP OFFICE FOR CIVIL RIGHTS,PRETRIAL JUSTICE INSTITUTE,,Department of Justice,Office of Justice Programs,541611,B599,2019-09-30,keyword:risk assessment,40,https://www.usaspending.gov/award/CONT_AWD_15PCRD19C00000002_1550_-NONE-_-NONE-
2026-07-01,28321325FDS030086,29911.50,medium,cyber_consulting,ADMINISTRATIVE LAW JUDGE (ALJ) SECURITY ASSESSMENT AND AUTHORIZATION PROCESS UNDER OPTION YEAR II.,"INFORMATION DISCOVERY SERVICES, LLC",,Social Security Administration,Social Security Administration,561611,R615,2025-09-01,keyword:security assessment,40,https://www.usaspending.gov/award/CONT_AWD_28321325FDS030086_2800_28321323D00060009_2800
2026-07-01,20346424F00016,32492.05,medium,cyber_consulting,RISK ASSESSMENT FOR IT MODERNIZATION,"SAGGAR & ROSENBERG, P.C.",,Department of the Treasury,Bureau of the Fiscal Service,541211,R408,2024-04-18,keyword:risk assessment,40,https://www.usaspending.gov/award/CONT_AWD_20346424F00016_2036_20346422A00003_2036
2026-07-01,68HE0721F0135,42329.76,medium,cyber_consulting,REPA ZONE III -GAR COMBUSTION HUMAN HEALTH AND ECO RISK ASSESSMENT SUPPORT,EASTERN RESEARCH GROUP INC,,Environmental Protection Agency,Environmental Protection Agency,541620,R425,2021-09-17,keyword:risk assessment,40,https://www.usaspending.gov/award/CONT_AWD_68HE0721F0135_6800_68HERH19D0017_6800
2026-07-01,692M1524F00023,66976.98,medium,cyber_consulting,NEW TRC TO 105 TITLE V AIR MODELING PROTOCOL AND RISK ASSESSMENT.,TRC ENVIRONMENTAL CORP,,Department of Transportation,Federal Aviation Administration,541620,R425,2024-01-03,keyword:risk assessment,40,https://www.usaspending.gov/award/CONT_AWD_692M1524F00023_6920_DTFACT17D00008_6920
2026-07-01,19AQMM26P0658,8622.36,medium,other,PRESSCOM,"GOVSMART, INC.",,Department of State,Department of State,541519,DG10,2026-09-30,naics:541519,35,https://www.usaspending.gov/award/CONT_AWD_19AQMM26P0658_1900_-NONE-_-NONE-
2026-07-01,15B51426F00000078,9127.07,medium,other,"TELERADIOLOGY AND MEDICAL IMAGE STORAGE SERVICES FOR INMATES QUARTER 3 FY26 BCT PARTNERS JULY 1 THROUGH SEPTEMBER 30, 2026",BCT PARTNERS LLC,,Department of Justice,Federal Prison System / Bureau of Prisons,541512,Q522,2026-07-01,naics:541512,35,https://www.usaspending.gov/award/CONT_AWD_15B51426F00000078_1540_15BNAS21D00000087_1540
2026-07-01,15DDHQ26F00000353,9398.00,medium,other,TITLE: MAGNET AXIOM SMS - NEW RENEWAL REQUESTOR: CLIVE R LAWRENCE AFT#: 2026-TC-0053 ITJA#: TCITJA0017114 POP DATES: 09/30/2026 TO 09/29/2027,"PANAMERICA COMPUTERS, INC.",,Department of Justice,Drug Enforcement Administration,541519,7A21,2026-09-30,naics:541519,35,https://www.usaspending.gov/award/CONT_AWD_15DDHQ26F00000353_1524_NNG15SD02B_8000
2026-07-01,140E0126F0027,11698.64,medium,other,ITEXT SUPPORT,"COUNTERTRADE PRODUCTS, INC.",,Department of the Interior,Bureau of Safety and Environmental Enforcement,541519,DA10,2026-09-30,naics:541519,35,https://www.usaspending.gov/award/CONT_AWD_140E0126F0027_1436_NNG15SC65B_8000
